t=2026-09-24T20:37:35+0530 lvl=info msg="no configuration paths supplied"
t=2026-09-24T20:37:35+0530 lvl=info msg="using configuration at default config path" path="/Users/ramavathvarun/Library/Application Support/ngrok/ngrok.yml"
t=2026-09-24T20:37:35+0530 lvl=info msg="open config file" path="/Users/ramavathvarun/Library/Application Support/ngrok/ngrok.yml" err=<nil>
t=2026-09-24T20:40:15+0530 lvl=info msg="join connections" obj=join id=61675fddbb83 l=127.0.0.1:5001 r=106.192.16.111:44012
t=2026-09-24T20:40:15+0530 lvl=info msg="join connections" obj=join id=7388235b0583 l=127.0.0.1:5001 r=106.192.16.111:44012
t=2026-09-24T20:40:16+0530 lvl=info msg="join connections" obj=join id=f354f40245dd l=127.0.0.1:5001 r=106.192.16.111:44012
t=2026-09-24T20:40:16+0530 lvl=info msg="join connections" obj=join id=81b79259c94e l=127.0.0.1:5001 r=106.192.16.111:44012
t=2026-09-24T20:40:16+0530 lvl=info msg="join connections" obj=join id=3a7b29be1d8e l=127.0.0.1:5001 r=106.192.16.111:44012
t=2026-09-24T20:40:16+0530 lvl=info msg="join connections" obj=join id=549c3a50378d l=127.0.0.1:5001 r=106.192.16.111:44156
t=2026-09-24T20:40:16+0530 lvl=info msg="join connections" obj=join id=dc3bb5438733 l=127.0.0.1:5001 r=106.192.16.111:44012
t=2026-09-24T20:40:16+0530 lvl=info msg="join connections" obj=join id=a7af907056c4 l=127.0.0.1:5001 r=106.192.16.111:44012
t=2026-09-24T20:40:17+0530 lvl=info msg="join connections" obj=join id=25aa30bba13b l=127.0.0.1:5001 r=106.192.16.111:44012
t=2026-09-24T20:40:19+0530 lvl=info msg="join connections" obj=join id=07b7eef278b2 l=127.0.0.1:5001 r=106.192.16.111:44012
t=2026-09-24T20:40:22+0530 lvl=info msg="join connections" obj=join id=5693f6cd69b4 l=127.0.0.1:5001 r=106.192.16.111:44012
t=2026-09-24T20:40:25+0530 lvl=info msg="join connections" obj=join id=3027c7d7b2e4 l=127.0.0.1:5001 r=106.192.16.111:44012
t=2026-09-24T20:40:28+0530 lvl=info msg="join connections" obj=join id=078951e58eb2 l=127.0.0.1:5001 r=106.192.16.111:44012
t=2026-09-24T20:40:31+0530 lvl=info msg="join connections" obj=join id=e70d95405d57 l=127.0.0.1:5001 r=106.192.16.111:44012
t=2026-09-24T20:40:34+0530 lvl=info msg="join connections" obj=join id=0b1bdaddc32e l=127.0.0.1:5001 r=106.192.16.111:44012
t=2026-09-24T20:40:37+0530 lvl=info msg="join connections" obj=join id=97d66135fb7d l=127.0.0.1:5001 r=106.192.16.111:44012
t=2026-09-24T20:40:40+0530 lvl=info msg="join connections" obj=join id=ec7994204a9c l=127.0.0.1:5001 r=106.192.16.111:44012
t=2026-09-24T20:40:43+0530 lvl=info msg="join connections" obj=join id=25332843b012 l=127.0.0.1:5001 r=106.192.16.111:44012
t=2026-09-24T20:40:46+0530 lvl=info msg="join connections" obj=join id=c198b058c46a l=127.0.0.1:5001 r=106.192.16.111:44012
t=2026-09-24T20:40:46+0530 lvl=info msg="join connections" obj=join id=3d1ea1104f96 l=127.0.0.1:5001 r=106.192.16.111:44012
t=2026-09-24T20:40:49+0530 lvl=info msg="join connections" obj=join id=02633b101453 l=127.0.0.1:5001 r=106.192.16.111:44012
t=2026-09-24T20:40:52+0530 lvl=info msg="join connections" obj=join id=883dcc2472f5 l=127.0.0.1:5001 r=106.192.16.111:44012
t=2026-09-24T20:40:55+0530 lvl=info msg="join connections" obj=join id=98c77900cce9 l=127.0.0.1:5001 r=106.192.16.111:44012
t=2026-09-24T20:40:58+0530 lvl=info msg="join connections" obj=join id=e3a8a1541e81 l=127.0.0.1:5001 r=106.192.16.111:44012
t=2026-09-24T20:40:59+0530 lvl=info msg="join connections" obj=join id=34dacf888e1c l=127.0.0.1:5001 r=106.192.16.111:44012
t=2026-09-24T20:41:01+0530 lvl=info msg="join connections" obj=join id=596a46bb7efa l=127.0.0.1:5001 r=106.192.16.111:44012
t=2026-09-24T20:41:04+0530 lvl=info msg="join connections" obj=join id=4d9215c028e7 l=127.0.0.1:5001 r=106.192.16.111:44012
t=2026-09-24T20:41:07+0530 lvl=info msg="join connections" obj=join id=b3a70a07b6a6 l=127.0.0.1:5001 r=106.192.16.111:44012
t=2026-09-24T20:41:07+0530 lvl=info msg="join connections" obj=join id=209783b52311 l=127.0.0.1:5001 r=106.192.16.111:44012
t=2026-09-24T20:41:08+0530 lvl=info msg="join connections" obj=join id=7143121e37ea l=127.0.0.1:5001 r=106.192.16.111:38726
t=2026-09-24T20:41:09+0530 lvl=info msg="join connections" obj=join id=880e9701c7c4 l=127.0.0.1:5001 r=106.192.16.111:38726
t=2026-09-24T20:41:09+0530 lvl=info msg="join connections" obj=join id=fa2be8c6c9bf l=127.0.0.1:5001 r=106.192.16.111:38726
t=2026-09-24T20:41:09+0530 lvl=info msg="join connections" obj=join id=a8a8d6ac9a3b l=127.0.0.1:5001 r=106.192.16.111:44156
t=2026-09-24T20:41:09+0530 lvl=info msg="join connections" obj=join id=7e5a1027394e l=127.0.0.1:5001 r=106.192.16.111:38726
t=2026-09-24T20:41:10+0530 lvl=info msg="join connections" obj=join id=35fe979b22c7 l=127.0.0.1:5001 r=106.192.16.111:38726
t=2026-09-24T20:41:10+0530 lvl=info msg="join connections" obj=join id=083815d95305 l=127.0.0.1:5001 r=106.192.16.111:38726
t=2026-09-24T20:41:10+0530 lvl=info msg="join connections" obj=join id=154c377792a3 l=127.0.0.1:5001 r=106.192.16.111:38726
t=2026-09-24T20:41:11+0530 lvl=info msg="join connections" obj=join id=48f97ce63634 l=127.0.0.1:5001 r=106.192.16.111:38726
t=2026-09-24T20:41:12+0530 lvl=info msg="join connections" obj=join id=0f225e415cee l=127.0.0.1:5001 r=106.192.16.111:38726
t=2026-09-24T20:41:15+0530 lvl=info msg="join connections" obj=join id=44bf6bf80698 l=127.0.0.1:5001 r=106.192.16.111:38726
t=2026-09-24T20:41:18+0530 lvl=info msg="join connections" obj=join id=41e7292b56b1 l=127.0.0.1:5001 r=106.192.16.111:38726
t=2026-09-24T20:41:21+0530 lvl=info msg="join connections" obj=join id=1d29e45b6b7e l=127.0.0.1:5001 r=106.192.16.111:38726
t=2026-09-24T20:41:24+0530 lvl=info msg="join connections" obj=join id=7bf9ace01f2d l=127.0.0.1:5001 r=106.192.16.111:38726
t=2026-09-24T20:41:27+0530 lvl=info msg="join connections" obj=join id=e712282c275d l=127.0.0.1:5001 r=106.192.16.111:38726
t=2026-09-24T20:41:36+0530 lvl=info msg="join connections" obj=join id=065392edf865 l=127.0.0.1:5001 r=106.192.16.111:38726
t=2026-09-24T20:41:37+0530 lvl=info msg="join connections" obj=join id=71a36616a39b l=127.0.0.1:5001 r=106.192.16.111:38726
t=2026-09-24T20:41:37+0530 lvl=info msg="join connections" obj=join id=fdc3c0de7e01 l=127.0.0.1:5001 r=106.192.16.111:38726
t=2026-09-24T20:41:39+0530 lvl=info msg="join connections" obj=join id=cecf35aa6d6e l=127.0.0.1:5001 r=106.192.16.111:38726
t=2026-09-24T20:41:39+0530 lvl=info msg="join connections" obj=join id=d47db25024dc l=127.0.0.1:5001 r=106.192.16.111:38726
t=2026-09-24T20:41:42+0530 lvl=info msg="join connections" obj=join id=95a0d55a1693 l=127.0.0.1:5001 r=106.192.16.111:38726
t=2026-09-24T20:41:45+0530 lvl=info msg="join connections" obj=join id=8dc8fe02695f l=127.0.0.1:5001 r=106.192.16.111:38726
t=2026-09-24T20:41:48+0530 lvl=info msg="join connections" obj=join id=1b0daeef3ced l=127.0.0.1:5001 r=106.192.16.111:38726
t=2026-09-24T20:41:51+0530 lvl=info msg="join connections" obj=join id=f4010fa38508 l=127.0.0.1:5001 r=106.192.16.111:38726
t=2026-09-24T20:41:54+0530 lvl=info msg="join connections" obj=join id=1003b1ebc48b l=127.0.0.1:5001 r=106.192.16.111:38726
t=2026-09-24T20:41:57+0530 lvl=info msg="join connections" obj=join id=2bb065c84afe l=127.0.0.1:5001 r=106.192.16.111:38726
t=2026-09-24T20:42:00+0530 lvl=info msg="join connections" obj=join id=493ef7845cb5 l=127.0.0.1:5001 r=106.192.16.111:38726
t=2026-09-24T20:42:03+0530 lvl=info msg="join connections" obj=join id=c8b2813bdcbf l=127.0.0.1:5001 r=106.192.16.111:38726
t=2026-09-24T20:42:06+0530 lvl=info msg="join connections" obj=join id=57a2c0a0e08c l=127.0.0.1:5001 r=106.192.16.111:38726
t=2026-09-24T20:42:09+0530 lvl=info msg="join connections" obj=join id=33afe383fef0 l=127.0.0.1:5001 r=106.192.16.111:38726
t=2026-09-24T20:42:09+0530 lvl=info msg="join connections" obj=join id=0d51854564a6 l=127.0.0.1:5001 r=106.192.16.111:38726
t=2026-09-24T20:42:10+0530 lvl=info msg="join connections" obj=join id=d99b0301d542 l=127.0.0.1:5001 r=106.192.16.111:38726
t=2026-09-24T20:42:12+0530 lvl=info msg="join connections" obj=join id=d9ca7130e674 l=127.0.0.1:5001 r=106.192.16.111:38726
t=2026-09-24T20:55:15+0530 lvl=info msg="join connections" obj=join id=4aa226c205b1 l=127.0.0.1:5001 r=106.192.16.111:37564
t=2026-09-24T20:55:15+0530 lvl=info msg="join connections" obj=join id=be69a3aa569f l=127.0.0.1:5001 r=106.192.16.111:37564
t=2026-09-24T20:55:15+0530 lvl=info msg="join connections" obj=join id=022b560f8070 l=127.0.0.1:5001 r=106.192.16.111:37564
t=2026-09-24T20:55:18+0530 lvl=info msg="join connections" obj=join id=b0460faab1c5 l=127.0.0.1:5001 r=106.192.16.111:37564
t=2026-09-24T20:55:21+0530 lvl=info msg="join connections" obj=join id=9bf48451af5d l=127.0.0.1:5001 r=106.192.16.111:37564
t=2026-09-24T20:55:24+0530 lvl=info msg="join connections" obj=join id=7048910a85a2 l=127.0.0.1:5001 r=106.192.16.111:37564
t=2026-09-24T20:55:27+0530 lvl=info msg="join connections" obj=join id=cc8516818e51 l=127.0.0.1:5001 r=106.192.16.111:37564
t=2026-09-24T20:55:30+0530 lvl=info msg="join connections" obj=join id=1c4ec62566f2 l=127.0.0.1:5001 r=106.192.16.111:37564
t=2026-09-24T20:55:33+0530 lvl=info msg="join connections" obj=join id=9377629006a6 l=127.0.0.1:5001 r=106.192.16.111:37564
t=2026-09-24T20:55:36+0530 lvl=info msg="join connections" obj=join id=c6bc239bc3f5 l=127.0.0.1:5001 r=106.192.16.111:37564
t=2026-09-24T20:55:39+0530 lvl=info msg="join connections" obj=join id=8e0ac01e5aeb l=127.0.0.1:5001 r=106.192.16.111:37564
t=2026-09-24T20:55:39+0530 lvl=info msg="join connections" obj=join id=7e0fb82aa9a7 l=127.0.0.1:5001 r=106.192.16.111:37564
t=2026-09-24T20:55:42+0530 lvl=info msg="join connections" obj=join id=da78bc119d30 l=127.0.0.1:5001 r=106.192.16.111:37564
t=2026-09-24T20:55:45+0530 lvl=info msg="join connections" obj=join id=1839590ac226 l=127.0.0.1:5001 r=106.192.16.111:37564
t=2026-09-24T20:55:48+0530 lvl=info msg="join connections" obj=join id=8018370efe0a l=127.0.0.1:5001 r=106.192.16.111:37564
t=2026-09-24T20:55:51+0530 lvl=info msg="join connections" obj=join id=882b9ab20723 l=127.0.0.1:5001 r=106.192.16.111:37564
